,count,pair
0,233.0,"(enter,phrase)"
1,1.0,"(free,access)"
2,2.0,"(get,class)"
3,6.0,"(get,train)"
4,2.0,"(newslett,histor)"
5,1.0,"(search,alway)"
6,233.0,"(search,enter)"
7,2.0,"(train,16)"
8,2.0,"(train,5)"
9,1.0,"(train,bush)"
10,9.0,"(train,coast)"
11,4.0,"(train,devic)"
12,2.0,"(train,express)"
13,3.0,"(train,florida)"
14,1.0,"(train,hw)"
15,3.0,"(train,interest)"
16,2.0,"(train,mail)"
17,2.0,"(train,march)"
18,2.0,"(train,may)"
19,2.0,"(train,night)"
20,1.0,"(train,onli)"
21,2.0,"(train,show)"
22,6.0,"(train,steam)"
23,6.0,"(train,union)"
24,1.0,"(train,writer)"
25,4.0,"(train,zinio)"
26,2.0,"(us,export)"
27,1.0,"(us,rewrit)"
28,8.0,"(week,50)"
29,1.0,"(week,canadian)"
30,8.0,"(week,three)"
31,233.0,"(email,free)"
32,233.0,"(email,newslett)"
33,4.0,"(email,order)"
34,233.0,"(enter,keyword)"
35,2.0,"(enter,servic)"
36,2.0,"(get,builder)"
37,2.0,"(get,this)"
38,1.0,"(newslett,associ)"
39,233.0,"(newslett,email)"
40,1.0,"(newslett,tie)"
41,1.0,"(search,railroad)"
42,13.0,"(train,)"
43,1.0,"(train,1962)"
44,3.0,"(train,6)"
45,2.0,"(train,account)"
46,1.0,"(train,began)"
47,1.0,"(train,black)"
48,2.0,"(train,bo)"
49,2.0,"(train,busi)"
50,2.0,"(train,busiest)"
51,2.0,"(train,c)"
52,2.0,"(train,chicago)"
53,2.0,"(train,daylight)"
54,2.0,"(train,follow)"
55,21.0,"(train,magazin)"
56,1.0,"(train,magnific)"
57,2.0,"(train,misunderstood)"
58,1.0,"(train,monitor)"
59,1.0,"(train,more)"
60,2.0,"(train,pa)"
61,13.0,"(train,photo)"
62,6.0,"(train,publish)"
63,1.0,"(train,rewrit)"
64,1.0,"(train,ride)"
65,2.0,"(train,space)"
66,2.0,"(train,told)"
67,4.0,"(train,whi)"
68,1.0,"(train,wine)"
69,1.0,"(train,wonder)"
70,2.0,"(us,oper)"
71,2.0,"(us,six)"
72,8.0,"(week,articl)"
73,1.0,"(week,editor)"
74,233.0,"(week,inbox)"
75,1.0,"(week,less)"
76,1.0,"(get,featur)"
77,2.0,"(get,len)"
78,4.0,"(get,magazin)"
79,1.0,"(get,onlin)"
80,1.0,"(newslett,later)"
81,1.0,"(newslett,light)"
82,1.0,"(newslett,museum)"
83,1.0,"(train,27)"
84,1.0,"(train,agenc)"
85,4.0,"(train,avail)"
86,2.0,"(train,check)"
87,2.0,"(train,closest)"
88,8.0,"(train,confer)"
89,2.0,"(train,costcut)"
90,2.0,"(train,depot)"
91,5.0,"(train,last)"
92,2.0,"(train,memberson)"
93,233.0,"(train,newslett)"
94,2.0,"(train,order)"
95,4.0,"(train,partnership)"
96,2.0,"(train,railway)"
97,1.0,"(train,skookum)"
98,5.0,"(train,take)"
99,2.0,"(train,well)"
100,1.0,"(train,west)"
101,2.0,"(train,what)"
102,3.0,"(train,work)"
103,2.0,"(us,genset)"
104,2.0,"(us,includ)"
105,2.0,"(us,line)"
106,1.0,"(us,someth)"
107,5.0,"(us,train)"
108,233.0,"(week,get)"
109,4.0,"(week,gone)"
110,1.0,"(week,pacif)"
111,1.0,"(week,publish)"
112,2.0,"(week,this)"
113,1.0,"(email,jim)"
114,4.0,"(email,newsletterview)"
115,4.0,"(email,store)"
116,233.0,"(email,train)"
117,239.0,"(get,get)"
118,2.0,"(get,might)"
119,233.0,"(get,newslett)"
120,2.0,"(get,tri)"
121,2.0,"(get,want)"
122,1.0,"(search,learn)"
123,2.0,"(train,8)"
124,3.0,"(train,boy)"
125,1.0,"(train,brightlin)"
126,2.0,"(train,canada)"
127,1.0,"(train,chief)"
128,1.0,"(train,dont)"
129,2.0,"(train,havent)"
130,6.0,"(train,holiday)"
131,2.0,"(train,hydrostat)"
132,1.0,"(train,includ)"
133,1.0,"(train,intermod)"
134,2.0,"(train,issu)"
135,10.0,"(train,look)"
136,4.0,"(train,made)"
137,1.0,"(train,nearbi)"
138,2.0,"(train,new)"
139,2.0,"(train,obsess)"
140,4.0,"(train,pc)"
141,1.0,"(train,site)"
142,4.0,"(train,through)"
143,1.0,"(train,troubl)"
144,1.0,"(train,vision)"
145,2.0,"(train,willard)"
146,1.0,"(us,could)"
147,1.0,"(us,hill)"
148,1.0,"(us,passeng)"
149,3.0,"(us,railroad)"
150,2.0,"(us,rebuilt)"
151,1.0,"(free,becom)"
152,4.0,"(get,devic)"
153,2.0,"(get,mover)"
154,233.0,"(get,week)"
155,1.0,"(newslett,shop)"
156,2.0,"(train,1776)"
157,3.0,"(train,age)"
158,2.0,"(train,anderson)"
159,2.0,"(train,featur)"
160,2.0,"(train,firsthand)"
161,1.0,"(train,fpa4)"
162,1.0,"(train,governor)"
163,2.0,"(train,harrison)"
164,6.0,"(train,locomot)"
165,2.0,"(train,longdist)"
166,1.0,"(train,love)"
167,3.0,"(train,man)"
168,3.0,"(train,mile)"
169,1.0,"(train,negat)"
170,1.0,"(train,onceinalifetim)"
171,5.0,"(train,oper)"
172,2.0,"(train,power)"
173,8.0,"(train,present)"
174,4.0,"(train,print)"
175,2.0,"(train,quinci)"
176,2.0,"(train,runaway)"
177,2.0,"(train,shift)"
178,3.0,"(train,think)"
179,328.0,"(train,train)"
180,4.0,"(train,two)"
181,3.0,"(us,florida)"
182,2.0,"(us,standardgaug)"
183,2.0,"(us,wont)"
184,233.0,"(week,deliv)"
185,233.0,"(week,newslett)"
186,4.0,"(email,)"
187,4.0,"(email,issu)"
188,233.0,"(free,train)"
189,1.0,"(free,trainscom)"
190,2.0,"(get,both)"
191,2.0,"(get,longdist)"
192,8.0,"(get,newswir)"
193,1.0,"(newslett,nation)"
194,1.0,"(newslett,talk)"
195,233.0,"(newslett,week)"
196,1.0,"(search,dont)"
197,1.0,"(train,150th)"
198,1.0,"(train,611)"
199,1.0,"(train,camera)"
200,1.0,"(train,color)"
201,2.0,"(train,columbia)"
202,3.0,"(train,derail)"
203,1.0,"(train,discuss)"
204,1.0,"(train,indiana)"
205,2.0,"(train,limit)"
206,1.0,"(train,line)"
207,2.0,"(train,michigan)"
208,1.0,"(train,option)"
209,9.0,"(train,oregon)"
210,1.0,"(train,part)"
211,11.0,"(train,rail)"
212,2.0,"(train,see)"
213,1.0,"(train,set)"
214,1.0,"(train,start)"
215,1.0,"(train,thump)"
216,2.0,"(train,togeth)"
217,2.0,"(train,tomorrow)"
218,2.0,"(train,v)"
219,4.0,"(train,winner)"
220,4.0,"(train,wrinn)"
221,2.0,"(us,2017)"
222,1.0,"(us,book)"
223,247.0,"(us,us)"
224,1.0,"(week,fit)"
225,233.0,"(enter,below)"
226,2.0,"(get,tank)"
227,1.0,"(get,trainscom)"
228,1.0,"(newslett,societi)"
229,1.0,"(train,1967)"
230,2.0,"(train,82car)"
231,1.0,"(train,beach)"
232,2.0,"(train,behind)"
233,2.0,"(train,canyon)"
234,2.0,"(train,central)"
235,3.0,"(train,day)"
236,10.0,"(train,digit)"
237,1.0,"(train,enthusiast)"
238,1.0,"(train,expect)"
239,2.0,"(train,format)"
